Product_ID,Product_Cat,Product_Name,Product_price,Product_image
1,1,AMD Ryzen 5 5600,1120,/assets/img/AMD_R5_5600.jpg
2,1,AMD Ryzen 5 7600X,2099,AMD_R5_7600X.jpg
3,1,AMD Ryzen 7 5800X3D,3180,AMD_R7_5800X3D
4,1,AMD Ryzen 7 7700X,2899,AMD Ryzen 7 7700X.jpg
5,1,AMD Ryzen 9 5950X,4150,
6,1,AMD Ryzen 9 7950X,4680,
7,1,AMD Ryzen THREADRIPPER 3960X,11599,
8,1,AMD Ryzen Threadripper PRO 5995WX,52800,
9,1,INTEL CORE i3-10100F,659,
10,1,INTEL CORE i3-12100,840,
11,1,INTEL CORE i5-12600KF,1900,
12,1,INTEL CORE i5-13600K,2390,
13,1,INTEL CORE i7-12700F,2240,
14,1,INTEL CORE i7-13700KF,2920,
15,1,INTEL CORE i9-12900KS,6080,
16,1,INTEL CORE i9-13900K,4390,
17,2,MSI RTX4090 GAMING X TRIO CLASSIC 24G,14580,
18,2,ASUS TUF RTX3060TI 8G GAMING DISPLAY CARD,3450,
19,2,ASUS TUF RX7900XT OC 20GB DISPLAY CARD,8299,
20,2,GIGABYTE RTX4070Ti  EAGLE OC 12G DISPLAY CARD,6499,
21,2,ASUS TUF Gaming GeForce GTX 1650 OC Edition,1520,
22,2,POWERCOLOR RX7900XTX HELLHOUND 24GD6,8680,
23,2,ASUS ROG RTX4080 OC 16G GAMING WHITE,11199,
24,2,Gigabyte GeForce RTX 3070 Ti GAMING OC 8G GV-N307TGAMING OC-8GD,5000,
25,2,ASUS TUF Gaming NVIDIA GeForce RTX 3080 O10G V2 GAMING Edition,7395,
26,2,MSI RX6750XT MECH 2X 12G OC,2999,
27,3,ASUS TUF H670-PRO WIFI DDR4,1980,
28,3,ASRock Z690M-ITX/ax Mini ITX,1390,
29,3,ASROCK B550 PHANTOM GAMING-ITX,1590,
30,3,GIGABYTE Z790 GAMING X DDR5 ATX MOTHERBOARD,1950,
31,3,ASUS PRIME B760M-A D4,1130,
